,tweet_id,tweet_text
0,1388507090767974402,It’s hard to believe how similar the landscape is from my house in KY to Atlanta. Have yourself a great day Jeane !!!
1,1388507090403139593,Lol...So close. Couldn't Stand the Weather and then Texas Flood.
2,1388507065266606086,Up the flood lights? Great view however! UTFT
3,1388506995007819777,No surprise from the people who willfully let China flood the US with fentanyl that kills thousands of Americans every year.
4,1388506930948227078,"Because of the global, lumber industry of mass deforestation(trees are the lungs), since inception & NOT replenishing what they've taken is/has caused extinction of species, whose habitats destroyed, mass floods, heatwave & storms as trees no longer in abundance to absorb CO2."
5,1388506919728463872,Random 40 year old men arguing outside MSG about if we should go with Coan or Pyne at QB1? Irish are so back
6,1388506903932715020,"Matthew 6:26-27 And every1 who hears these words of mine & does not do them will b like a foolish man who built his house on the sand. And the rain fell, & the floods came, & the winds blew & beat against that house, and it fell, and great was the fall of it.”"
7,1388506881522556930,"Flood his email, tell him the people already voted by electing Joe Biden!"
8,1388506853848588294,Flood of Liquidity Is Sweetening Retirement for Stock Owners and Home Sellers
9,1388506826409496576,Good morning!
10,1388506782092439552,Meadow Street Coventry flood protection and trash screen monitoring
11,1388506777977856002,I couldnae cope wi that !!! The golf course near us has a big that floods under the turf but it’s no as bad as that !
12,1388506746096922630,"Flood insurance is available for both renters and homeowners but it is not part of a standard home or renters insurance policy. There are two types of Flood Insurance, one is from the federal government and the other is from private insurance companies."
13,1388506736206745603,I'm about to flood the tl with fancams so mute me now!
14,1388506692506300422,"My tire man is from Honduras, his entire family on the way he told me... sweet Jesus Biden has open the flood gates. Rudy Giuliani is just a distraction from the press......"
15,1388506685023547399,didn’t it like.. flood some country in europe at some point cause a guy was overproducing in his basement
16,1388506670725206025,"The point is, there's a deadly virus. No point in opening flood gates, causing another spike and further lockdowns. 50 at a wedding, THEN 1000s through a spoons chugging 20 pts and a plate of chips🤷‍♀️"
17,1388506534733303808,Does this threadmill require through spindle coolant or can it work with flood coolant?
18,1388506458568990722,"He sees that single (probably subconscious act) as blaming a single drop of rain for the damage caused by a flood. ""Why are people making a big deal about it?"" ""They're crying wolf"" He's missing the idea that billions of raindrops all falling at the same time is devastating"
19,1388506376780009472,Happy May to you Zoria !!
20,1388506342084677639,GO FLOOD ZIA REPLY LOL
21,1388506294672400391,Thovhele Nethengwe and his delegation of Chiefs from Neighboring villages have joined us to congratulate the Bashasha 16 Flood Victims on their new home bashashafloodvictims onbrickatatime
22,1388506232500068368,"I used to be proud of Albertans’ stubborn ability to take care of each other through anything. We would drive tankers of gas through wildfire to help stranded people, bail each other out of floods - but now we can’t wear a mask or stay home. Now we don’t give a shit."
23,1388506220655349761,"Bro, stop spitting you gonna cause a flood"
24,1388506176791490561,I know what happened to Donovan. I know everything. ⚡️⚡️⚡️ You don't know anything. OOOOOOOOOOH FLOOD IT LIKE A TIDAL WAVE
25,1388506120919175168,No one cares but here’sa picture of batmanHappyBirthdayCharliDAmelio
26,1388506099234508802,fogbow rainbow doublerainbow Arcus orage orages thunderstorm thunderstorms inondation inondations flood floods grêle hail tornade tornades tornado tornadoes earthquake earthquakes ‼️Deadly hurricane hits Chinese city of Nantong‼️
27,1388506071820603399,Good morning! Flash floods here today. Looks like an inside day. 💕
28,1388505962647101444,A very happy Saturday my friend. I hope you have a wonderful day.
29,1388505871433543683,"Yeah, tbf, they've done a great job. We haven't had as much bad luck with the floods this year. Last year was a shambles but it's only (only. Lol) been underwater once so far this year. Fell and D'Oliveira have done really well here. D'Oliveira is usually a walking wicket."
30,1388505771730784258,Lake District river to have bends restored in flood prevention plan
31,1388505745965010953,"During the cut, after warm ups, they seemed to flood it more than normal too. There was quite a bit of water and the ice crew was really focusing on behind the net."
32,1388505666306838529,his commitment to the craft is astounding.
33,1388505632119033861,Why? Tejas Flood IS da BluZ ..
34,1388505610493235201,My gawd I hate caturday! It floods Instagram and also I have the song stuck in my head “caturday in the park..” 🎶
35,1388505556856446980,is like a flood?
36,1388505521406181381,This can be trird in India during floods which tgere always at some part or the other throughout the year.
37,1388505440242356229,This I know !!!!!!! From this one. 😂😂😂
38,1388505398127300610,Don’t think I’m selling my zerps or ETH
