,tweet_id,tweet_text
0,1392847910761504768,Oxygen Concentrator available for needy people in Jaipur. It's free for cost for 5 day. Connect with NYCIan Covid19IndiaHelp
1,1392847880101134336,"Big thanks to our humanitarian experts Pravin Bhai,Rudra Bhai,Satyajit Bhai for guiding the mission all the way!Thanks to our Volunteers of Smile Please,Jai Odisha & Gupta Sweets who are our driving force! SmilePlease SmileForce jaiodisha Covid19IndiaHelp"
2,1392847613192409088,Please do help as soon as possible SonuSood COVIDEmergency2021 Covid19IndiaHelp
3,1392847483353530373,"Very true what this gentleman says! Please, there is plenty of time to make money folks, now is the time to be human and be helpful. Sincere request 🙏 COVID19India Covid19IndiaHelp"
4,1392847465649348608,Checked website. Useful resources platform. Keep it handy. LINK: DelhiNCR delhicovid CovidResources COVID19 oxygen COVIDEmergency2021 Covid19IndiaHelp resources COVID19India CovidResource
5,1392847464374304772,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 BIKANER Oxygen Beds Available Name: Dr. Pramod Soni Contact: 9414084845 Location: Bikaner, Rajasthan Last Verified @ 13/05/21, 07:32PM Covid19IndiaHelp"
6,1392847375450923009,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 RANCHI Free Food service for covid patients Contact: 7250481236 Location: All over Ranchi Verified at: 13/05/2021, 7:37 PM Covid19IndiaHelp"
7,1392847039550005249,Available OxygenBed Thane Verified covidhelp COVIDIndiaSOS CovidIndiaInfo COVIDEmergencyIndia Covid19IndiaHelp Quoted tweet for any details
8,1392847018356211714,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 DELHI Oxygen Beds Available Contact: 9625900725 Location: GTB Hospital, New Delhi, Delhi Last Verified @ 13/05/21, 07:25PM Covid19IndiaHelp"
9,1392847015290105861,Available B+ plasma for donation at Hyderabad. Vignesh: 9884556995 Vogneshgiri: 9043677660 Devender: 9716366570 Let us know if they are working or not. Haven't called personally but got it from other verified sources. Covid19IndiaHelp Hyderabad CovidHyderabad
10,1392846939536777220,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 DELHI Oxygen Beds Available Contact: 9625900725 Location: GTB Hospital, New Delhi, Delhi Last Verified @ 13/05/21, 07:25PM Covid19IndiaHelp"
11,1392846870880296960,"The court was hearing a plea filed by two lawyers Dhruti Kapadia and Kunal Tiwari, requesting the door-to-door vaccination facilities for senior citizens, especially for those who are bedridden or wheelchair-bound. Covid19IndiaHelp BombayHC"
12,1392846739065892867,Urgent need of O+ve plasma donors in Jaipur plasma jaipur Covid19IndiaHelp COVIDEmergency2021 CovidSOS
13,1392846671541805056,✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 THANE Oxygen Beds Available Name: Imran Ansari Phone: 9320038779 Location: Royal Multi-speciality Hospital Last Verified at 7:32pm 13/5/21 MaharashtraFightsCorona Covid19IndiaHelp
